Customer_ID,Plan,Contract_Type,Industry,Monthly_Spend_USD,Tenure_Months,NPS_Score,Logins_Per_Month,Days_Since_Last_Login,Churn_Probability,Risk_Tier,Churned,Churn_Probability_Pct
CUST-01428,Starter,Monthly,Healthcare,26.78,2,1,10,46,0.9934999971119778,High Risk,1,99.3
CUST-00948,Starter,Monthly,Marketing,32.03,6,3,12,112,0.9921599997226068,High Risk,1,99.2
CUST-02741,Starter,Monthly,Marketing,26.84,3,3,20,85,0.9893628801146317,High Risk,1,98.9
CUST-03182,Starter,Monthly,Manufacturing,34.35,7,4,27,51,0.9880582819297,High Risk,1,98.8
CUST-04417,Professional,Monthly,Technology,124.79,16,3,24,58,0.9867668749404014,High Risk,1,98.7
CUST-00383,Professional,Monthly,Manufacturing,103.17,1,1,21,59,0.984430598052724,High Risk,1,98.4
CUST-02925,Professional,Monthly,Marketing,97.72,12,2,22,59,0.9821730878098622,High Risk,0,98.2
CUST-01676,Starter,Monthly,Retail,29.95,3,2,17,28,0.9754699949927289,High Risk,1,97.5
CUST-04913,Starter,Monthly,Marketing,31.77,9,4,20,47,0.9749264184829978,High Risk,1,97.5
CUST-04676,Professional,Annual,Healthcare,115.99,8,1,7,23,0.9738806621205254,High Risk,1,97.4
CUST-04084,Professional,Monthly,Technology,105.25,2,1,3,76,0.97382338290015,High Risk,1,97.4
CUST-00015,Professional,Monthly,Healthcare,94.65,4,2,11,18,0.9732900066872819,High Risk,1,97.3
CUST-03661,Professional,Annual,Marketing,99.68,2,2,13,92,0.9712162109321943,High Risk,1,97.1
CUST-00528,Starter,Monthly,Manufacturing,33.06,21,2,12,18,0.9709050360204238,High Risk,1,97.1
CUST-01133,Starter,Monthly,Manufacturing,27.75,3,3,10,57,0.9708638206143334,High Risk,0,97.1
CUST-03651,Starter,Monthly,Manufacturing,34.51,10,5,17,66,0.9688712074497721,High Risk,1,96.9
CUST-03890,Professional,Monthly,Healthcare,113.25,6,2,20,10,0.9687589650363567,High Risk,1,96.9
