Customer_ID,Signup_Date,Plan,Contract_Type,Industry,Acquisition_Channel,Monthly_Spend_USD,Tenure_Months,Num_Users,Logins_Per_Month,Features_Used,API_Calls_Monthly,Support_Tier,Support_Tickets_6M,Days_Since_Last_Login,Payment_Failures,NPS_Score,Churned
CUST-00001,2022-08-17,Professional,Monthly,Healthcare,Referral,90.09,5,9,15,19,3456,Basic,1,0,0,2,0
CUST-00002,2023-07-13,Starter,Annual,Retail,Paid Search,28.41,7,5,15,6,3462,Basic,1,52,0,3,1
CUST-00003,2022-09-28,Professional,Monthly,Manufacturing,Social Media,103.32,2,7,16,18,2401,Standard,1,5,1,10,0
CUST-00004,2024-03-02,Starter,Annual,Healthcare,Direct,26.91,3,2,22,9,3714,Standard,2,5,0,6,0
CUST-00005,2022-03-15,Business,Annual,Finance,Social Media,294.0,20,16,13,15,24867,Basic,2,13,0,9,0
CUST-00006,2022-11-20,Business,Annual,Education,Organic Search,229.67,13,37,16,7,42954,Basic,4,17,0,8,0
CUST-00007,2023-03-15,Business,Annual,Legal,Paid Search,277.78,15,9,24,3,49530,Basic,1,36,0,2,1
CUST-00008,2023-04-25,Professional,Annual,Education,Partner,104.34,9,1,10,18,2185,Standard,2,3,0,6,0
CUST-00009,2022-09-27,Professional,Two-Year,Finance,Social Media,126.87,17,2,13,17,4988,Basic,0,5,1,6,0
CUST-00010,2022-11-28,Business,Monthly,Technology,Organic Search,276.92,16,24,18,8,3796,Basic,2,11,2,10,1
CUST-00011,2022-05-12,Starter,Annual,Manufacturing,Partner,34.92,22,3,13,17,4969,Basic,0,65,2,4,1
CUST-00012,2023-01-18,Business,Annual,Manufacturing,Organic Search,263.84,15,15,15,11,1378,Standard,0,25,0,4,1
CUST-00013,2022-12-05,Starter,Monthly,Retail,Paid Search,26.88,3,8,18,18,1083,Standard,1,6,0,10,0
CUST-00014,2023-11-06,Professional,Monthly,Marketing,Paid Search,105.22,4,8,12,4,496,Basic,0,5,1,6,1
CUST-00015,2023-04-19,Professional,Monthly,Healthcare,Paid Search,94.65,4,9,11,2,4428,Standard,3,18,2,2,1
CUST-00016,2022-03-02,Professional,Monthly,Legal,Organic Search,97.56,6,7,21,15,2336,Basic,3,0,0,9,0
CUST-00017,2024-01-24,Starter,Monthly,Technology,Referral,28.63,5,1,5,19,3905,Standard,2,35,0,9,0
CUST-00018,2023-11-23,Starter,Annual,Retail,Paid Search,28.26,7,10,14,19,4870,Basic,2,5,0,2,0
CUST-00019,2024-01-04,Professional,Monthly,Retail,Paid Search,126.11,3,3,23,15,2590,Premium,2,33,0,2,1
CUST-00020,2022-05-16,Starter,Annual,Healthcare,Direct,32.34,12,6,19,6,3589,Standard,2,3,0,5,0
CUST-00021,2022-11-03,Business,Annual,Finance,Paid Search,224.88,4,7,13,9,18465,Standard,1,10,0,6,0
CUST-00022,2022-02-22,Starter,Two-Year,Legal,Direct,31.77,3,1,9,11,1071,Standard,0,6,0,5,0
CUST-00023,2023-12-09,Business,Monthly,Technology,Direct,279.97,2,38,22,14,8352,Basic,2,53,1,6,0
CUST-00024,2022-09-13,Business,Monthly,Marketing,Referral,313.63,4,27,24,8,10649,Premium,2,0,1,3,1
CUST-00025,2024-01-23,Starter,Annual,Education,Organic Search,36.9,2,2,23,2,3855,Basic,0,4,0,8,0
CUST-00026,2023-02-13,Business,Annual,Education,Direct,246.3,11,50,24,12,42040,Standard,1,63,0,9,1
CUST-00027,2022-02-09,Starter,Two-Year,Legal,Paid Search,32.83,4,6,20,20,4189,Basic,2,6,0,10,1
CUST-00028,2024-01-30,Professional,Annual,Marketing,Paid Search,121.04,2,6,21,4,2460,Standard,1,27,0,7,0
CUST-00029,2023-01-24,Professional,Annual,Education,Paid Search,96.7,6,1,17,10,1721,Basic,0,13,0,10,0
CUST-00030,2024-03-23,Professional,Annual,Finance,Referral,115.85,3,5,22,3,1924,Standard,1,15,1,4,0
CUST-00031,2024-02-26,Starter,Annual,Manufacturing,Paid Search,37.51,1,10,12,13,4049,Basic,2,6,0,3,1
CUST-00032,2022-06-30,Business,Monthly,Manufacturing,Organic Search,234.72,23,16,18,15,8738,Standard,4,1,3,9,1
CUST-00033,2023-06-01,Business,Annual,Manufacturing,Direct,285.12,7,48,27,15,16986,Standard,5,1,1,5,0
CUST-00034,2022-10-20,Professional,Monthly,Education,Paid Search,99.97,8,9,13,5,1235,Basic,0,16,0,3,1
CUST-00035,2023-03-07,Professional,Monthly,Technology,Direct,105.56,13,10,22,16,48,Premium,2,4,1,5,0
CUST-00036,2023-07-14,Enterprise,Annual,Retail,Social Media,639.5,10,18,21,16,1902,Basic,4,6,0,7,0
CUST-00037,2023-02-08,Enterprise,Annual,Healthcare,Referral,774.08,1,9,21,6,3295,Basic,5,12,0,6,0
CUST-00038,2023-03-08,Business,Annual,Healthcare,Social Media,261.86,9,48,11,12,14694,Standard,2,15,1,1,0
CUST-00039,2022-05-10,Starter,Monthly,Healthcare,Social Media,26.34,16,4,22,9,3021,Basic,5,7,2,10,0
CUST-00040,2023-08-16,Business,Monthly,Education,Social Media,240.41,1,25,27,7,4980,Standard,1,41,0,4,0
CUST-00041,2023-08-03,Business,Monthly,Marketing,Social Media,283.9,1,43,23,3,33158,Standard,0,14,1,1,0
CUST-00042,2023-04-16,Starter,Annual,Finance,Paid Search,37.25,12,9,18,20,4408,Standard,3,5,0,8,0
CUST-00043,2022-03-30,Starter,Annual,Manufacturing,Organic Search,35.98,9,8,22,11,235,Basic,5,7,0,6,0
CUST-00044,2023-12-20,Business,Two-Year,Technology,Social Media,258.0,3,13,6,8,47190,Basic,0,9,1,9,0
CUST-00045,2022-04-06,Professional,Annual,Retail,Paid Search,108.54,10,4,19,19,3023,Basic,1,0,0,9,0
CUST-00046,2022-11-10,Professional,Annual,Retail,Organic Search,103.03,9,4,24,4,4389,Premium,0,11,0,3,0
CUST-00047,2023-09-04,Starter,Annual,Healthcare,Direct,32.94,5,5,20,12,1469,Basic,1,0,0,9,1
CUST-00048,2024-02-10,Starter,Annual,Healthcare,Direct,37.05,4,10,19,16,3921,Basic,4,23,2,3,1
CUST-00049,2023-08-14,Starter,Annual,Finance,Organic Search,26.86,1,10,16,3,2033,Basic,0,0,0,7,0
CUST-00050,2023-03-30,Starter,Annual,Legal,Paid Search,32.16,5,10,13,20,812,Premium,1,4,0,4,0
CUST-00051,2022-06-10,Starter,Annual,Legal,Social Media,28.88,1,10,26,10,267,Basic,3,12,0,5,0
CUST-00052,2023-10-03,Business,Annual,Legal,Organic Search,316.12,4,15,15,9,9321,Basic,1,21,1,3,0
CUST-00053,2023-04-25,Business,Monthly,Education,Referral,315.85,12,18,16,15,5271,Standard,3,10,0,7,0
CUST-00054,2023-08-13,Starter,Annual,Technology,Partner,28.76,10,5,11,6,3854,Standard,2,15,2,8,1
CUST-00055,2022-12-23,Professional,Monthly,Marketing,Paid Search,108.57,14,2,6,11,3372,Standard,4,1,0,5,1
CUST-00056,2022-04-29,Starter,Monthly,Legal,Direct,27.12,25,1,26,14,444,Basic,3,15,0,6,0
CUST-00057,2022-05-15,Professional,Monthly,Manufacturing,Direct,91.14,10,8,12,1,4987,Standard,4,1,0,3,1
CUST-00058,2022-05-01,Starter,Monthly,Finance,Social Media,35.86,21,5,12,14,3952,Premium,0,17,0,4,1
CUST-00059,2022-03-13,Professional,Monthly,Legal,Paid Search,118.65,9,9,11,1,2317,Standard,1,25,0,10,0
CUST-00060,2022-12-07,Business,Annual,Legal,Social Media,268.58,18,21,13,8,37473,Basic,5,2,0,7,0
CUST-00061,2023-11-11,Business,Monthly,Finance,Social Media,304.92,7,3,12,17,38678,Basic,3,20,1,2,0
CUST-00062,2023-02-24,Professional,Annual,Healthcare,Social Media,107.19,5,5,23,20,3256,Standard,3,33,1,6,0
CUST-00063,2024-02-17,Professional,Annual,Technology,Referral,101.64,4,4,18,8,740,Basic,1,5,1,2,0
CUST-00064,2022-01-30,Starter,Monthly,Marketing,Referral,28.03,2,5,29,12,3528,Basic,3,5,0,9,0
CUST-00065,2023-01-27,Starter,Annual,Manufacturing,Direct,28.13,8,3,19,15,2080,Basic,2,10,1,1,1
CUST-00066,2023-08-25,Professional,Two-Year,Legal,Referral,92.02,5,8,11,7,3151,Premium,3,2,0,2,0
CUST-00067,2023-11-06,Professional,Monthly,Education,Organic Search,128.41,4,1,28,10,1885,Standard,0,1,0,6,1
CUST-00068,2022-05-21,Business,Annual,Healthcare,Direct,300.54,21,42,13,10,28889,Basic,2,1,0,6,1
CUST-00069,2023-07-07,Business,Monthly,Education,Direct,241.59,6,17,23,10,48926,Premium,4,22,0,2,1
CUST-00070,2023-02-11,Starter,Annual,Healthcare,Referral,33.95,12,1,19,18,1012,Basic,1,10,0,5,0
CUST-00071,2022-01-26,Enterprise,Monthly,Marketing,Direct,565.06,20,15,4,15,45945,Basic,0,15,0,7,1
CUST-00072,2023-07-05,Enterprise,Monthly,Legal,Social Media,566.92,3,43,26,19,48645,Standard,2,30,0,7,0
CUST-00073,2023-12-08,Professional,Monthly,Retail,Paid Search,126.29,3,4,14,4,3009,Standard,4,14,0,6,1
CUST-00074,2022-08-06,Enterprise,Monthly,Technology,Organic Search,736.58,21,22,8,5,37000,Basic,4,3,0,9,0
CUST-00075,2023-09-03,Business,Monthly,Education,Direct,256.82,1,10,14,18,16426,Standard,1,54,0,2,1
CUST-00076,2022-06-28,Business,Monthly,Technology,Organic Search,247.8,9,27,13,3,31211,Basic,2,36,0,6,1
CUST-00077,2023-11-06,Enterprise,Annual,Education,Social Media,549.49,5,2,14,16,26320,Basic,3,0,0,2,0
CUST-00078,2022-03-09,Starter,Annual,Education,Referral,27.04,5,10,18,13,4893,Standard,2,7,0,8,0
CUST-00079,2024-02-27,Business,Annual,Legal,Social Media,235.5,2,15,27,11,29720,Basic,1,0,0,2,0
CUST-00080,2023-05-01,Starter,Annual,Healthcare,Direct,37.16,2,2,24,4,3052,Standard,3,2,0,9,0
CUST-00081,2023-11-13,Professional,Monthly,Legal,Direct,115.63,7,1,28,20,2559,Basic,2,6,0,10,0
CUST-00082,2023-07-24,Professional,Monthly,Healthcare,Referral,122.65,6,10,11,14,4595,Premium,4,12,0,10,0
CUST-00083,2022-10-01,Starter,Annual,Finance,Paid Search,36.88,1,5,25,12,50,Basic,0,0,0,3,0
CUST-00084,2024-02-04,Starter,Monthly,Legal,Paid Search,33.44,2,6,18,12,2552,Standard,2,0,0,10,0
CUST-00085,2022-03-25,Starter,Monthly,Manufacturing,Referral,34.85,9,8,22,14,2237,Basic,3,10,0,9,0
CUST-00086,2023-11-15,Starter,Annual,Technology,Organic Search,33.97,3,10,15,1,1674,Basic,3,39,1,4,1
CUST-00087,2022-05-13,Starter,Monthly,Retail,Social Media,31.87,13,6,12,13,346,Basic,3,15,2,8,0
CUST-00088,2023-03-04,Professional,Annual,Healthcare,Paid Search,111.81,10,6,12,20,3769,Standard,0,2,0,6,0
CUST-00089,2023-02-10,Starter,Annual,Marketing,Organic Search,32.93,10,3,7,17,934,Standard,1,6,2,4,1
CUST-00090,2022-05-30,Business,Monthly,Retail,Organic Search,305.28,9,10,18,6,41153,Basic,1,3,1,10,0
CUST-00091,2023-10-02,Enterprise,Annual,Marketing,Organic Search,674.35,6,5,15,15,41378,Basic,1,1,0,5,0
CUST-00092,2023-01-13,Starter,Monthly,Healthcare,Referral,31.46,10,2,17,15,4754,Standard,1,10,0,1,0
CUST-00093,2022-06-04,Business,Annual,Manufacturing,Organic Search,256.12,2,22,14,17,42344,Basic,2,31,0,4,0
CUST-00094,2022-10-17,Professional,Monthly,Legal,Referral,113.25,13,10,18,11,539,Basic,3,3,0,9,0
CUST-00095,2022-06-03,Business,Two-Year,Healthcare,Social Media,289.49,11,10,19,10,42995,Standard,2,20,0,7,0
CUST-00096,2022-12-03,Starter,Annual,Healthcare,Referral,32.58,5,7,21,1,2970,Basic,0,8,0,4,0
CUST-00097,2022-10-30,Starter,Monthly,Technology,Referral,37.7,4,10,14,20,3086,Basic,1,0,1,3,0
CUST-00098,2023-02-25,Business,Monthly,Retail,Partner,240.59,12,40,17,15,15335,Standard,1,33,2,5,1
CUST-00099,2023-03-28,Starter,Annual,Education,Referral,33.97,8,9,24,6,1635,Standard,2,11,1,3,1
CUST-00100,2023-06-13,Professional,Annual,Education,Organic Search,126.1,2,3,19,15,4205,Basic,1,5,0,7,0
CUST-00101,2023-03-01,Business,Two-Year,Legal,Social Media,312.21,2,16,20,3,24570,Basic,3,4,2,6,0
CUST-00102,2022-10-21,Professional,Monthly,Finance,Referral,120.44,16,8,18,20,43,Premium,1,3,0,1,0
CUST-00103,2022-04-24,Professional,Annual,Education,Organic Search,117.9,25,2,8,8,3439,Standard,1,11,0,10,0
CUST-00104,2023-06-12,Enterprise,Monthly,Retail,Referral,682.08,10,19,17,1,40292,Basic,4,16,0,10,0
CUST-00105,2023-06-23,Starter,Monthly,Technology,Paid Search,37.41,9,8,18,13,3058,Basic,2,3,0,1,1
CUST-00106,2024-02-14,Business,Annual,Finance,Organic Search,234.42,3,35,18,6,44871,Basic,1,1,0,8,0
CUST-00107,2022-10-28,Starter,Annual,Technology,Referral,35.1,7,1,21,10,4222,Basic,1,9,0,9,1
CUST-00108,2023-11-03,Starter,Monthly,Education,Organic Search,36.1,6,6,23,13,3602,Premium,1,0,0,7,1
CUST-00109,2022-03-26,Professional,Monthly,Legal,Organic Search,120.67,24,10,19,18,2406,Basic,4,6,0,2,1
CUST-00110,2023-04-03,Business,Monthly,Marketing,Referral,240.7,1,28,25,2,4917,Standard,1,19,0,7,0
CUST-00111,2023-09-15,Business,Monthly,Technology,Organic Search,319.0,8,16,29,12,25090,Premium,0,20,0,1,0
CUST-00112,2023-08-11,Enterprise,Annual,Marketing,Paid Search,628.23,3,42,19,8,7434,Basic,1,3,0,3,0
CUST-00113,2023-04-02,Professional,Monthly,Education,Referral,99.47,4,8,11,4,1111,Premium,3,31,0,8,0
CUST-00114,2022-11-24,Enterprise,Two-Year,Healthcare,Social Media,733.3,12,19,18,6,46649,Standard,2,5,1,3,0
CUST-00115,2024-03-20,Starter,Monthly,Technology,Paid Search,28.43,2,10,24,15,4519,Basic,2,11,0,2,1
CUST-00116,2023-08-12,Professional,Monthly,Finance,Partner,105.37,2,2,30,15,4238,Basic,0,42,0,9,1
CUST-00117,2022-05-08,Professional,Monthly,Finance,Paid Search,125.16,17,3,21,8,2834,Premium,1,14,1,9,0
CUST-00118,2022-05-09,Starter,Annual,Education,Referral,33.47,21,2,15,19,4756,Basic,1,5,0,10,0
CUST-00119,2022-01-30,Business,Annual,Technology,Partner,280.24,3,50,15,7,37495,Basic,0,12,0,1,0
CUST-00120,2023-12-03,Starter,Annual,Education,Social Media,37.2,4,1,13,15,3404,Basic,0,28,0,4,1
CUST-00121,2023-02-13,Starter,Monthly,Marketing,Social Media,37.56,5,2,15,8,3821,Basic,1,3,0,8,1
CUST-00122,2022-06-13,Professional,Monthly,Marketing,Organic Search,113.47,11,3,28,17,3824,Basic,3,6,0,5,1
CUST-00123,2022-02-19,Professional,Annual,Education,Social Media,98.63,2,8,20,18,66,Standard,2,13,0,7,0
